id;course_name;description;price;number_of_classes;total_duration
1;now;drat massive mmm;25626;2160;1527
2;quick doctrine pish;exaggerate exterminate frantically;26052.51;17423;1299
3;huzzah black unless;dangerous major around;19186.97;17187;5620
4;however enlarge;beautify whoever poison;1755.03;27372;31378
5;warmhearted preface ew;cautiously;3162.82;20444;8250
6;less ha consequently;commission affinity until;627.62;26220;2050
7;defrost unequaled;virtuous whereas;12226.61;26997;1245
8;second leading;rake model than;25775.75;16301;24536
9;outline pfft vastly;board;31077.1;27877;22270
10;utilized;multicolored boohoo;24044.66;29912;17025
